date,open,high,low,close,amount
2023-01-30,1046.44,1051.67,1031.36,1031.61,4229142.68
2023-01-31,1027.82,1029.62,1014.13,1014.36,3018699.21
2023-02-01,1016.31,1026.87,1010.4,1026.4,3188567.69
2023-02-02,1030.33,1041.24,1028.37,1031.68,3587092.99
2023-02-03,1029.12,1034.26,1016.91,1033.87,2605814.32
2023-02-06,1031.92,1038.27,1020.81,1024.43,2713237.63
2023-02-07,1024.24,1027.76,1014.48,1020.17,2488063.45
2023-02-08,1021.16,1026.22,1010.69,1010.69,2294143.83
2023-02-09,1007.84,1037.7,1004.67,1036.86,3328658.99
2023-02-10,1034.22,1038.6,1018.76,1024.54,3149442.8
2023-02-13,1020.55,1031.47,1017.59,1024.04,3011048.83
2023-02-14,1026.45,1032.59,1016.93,1022.67,2655467.06
2023-02-15,1022.79,1026.2,1016.25,1024.22,3423963.88
2023-02-16,1024.12,1030.43,998.96,1005.18,3805857.69
2023-02-17,1002.08,1005.38,986.33,986.33,2858350.35
2023-02-20,985.11,999.98,979.83,998.83,2741887.08
2023-02-21,997.55,1003.18,989.98,995.73,2576217.65
2023-02-22,988.79,993.52,987.28,989.65,1930714.38
2023-02-23,988.2,997.76,988.2,992.46,2558408.85
2023-02-24,996.03,999.8,988.33,990.63,2437148.18
2023-02-27,988.11,996.12,983.92,986.28,2781204.28
2023-02-28,991.44,994.73,980.1,990.47,2981129.61
2023-03-01,989.11,998.06,984.59,994.63,3715505.26
2023-03-02,994.54,997.46,987.91,988.89,2949840.95
2023-03-03,996.1,1002.48,990.27,998.9,3574535.18
2023-03-06,999.72,1011.03,991.66,1007.63,3896094.64
2023-03-07,1005.62,1008.08,990.21,990.58,3594451.78
2023-03-08,989.71,996.81,987.97,994.89,2674681.85
2023-03-09,996.56,1003.2,992.21,998.3,2916139.44
2023-03-10,990.9,1003.89,987.5,993.55,3999466.91
2023-03-13,992.94,1000.02,991.16,998.91,3508582.05
2023-03-14,997.77,1017.69,989.33,1013.39,5563032.88
2023-03-15,1016.18,1027.17,1007.18,1007.3,4692416.49
2023-03-16,1001.52,1010.28,990.16,992.44,4875863.52
2023-03-17,1002.37,1021.83,995.08,1015.76,6152273.86
2023-03-20,1016.23,1035.28,1012.45,1025.32,5856381.08
2023-03-21,1024.53,1030.19,1020.52,1030.19,4157270.39
2023-03-22,1031.61,1039.16,1028.31,1034.05,4352786.0
2023-03-23,1030.47,1058.99,1030.47,1058.99,5698293.72
2023-03-24,1058.12,1064.12,1051.05,1060.99,4965464.04
2023-03-27,1057.17,1070.18,1044.7,1057.49,5320190.58
2023-03-28,1059.67,1065.95,1037.01,1038.63,4278644.89
2023-03-29,1039.79,1076.06,1035.68,1062.14,5108397.6
